date_time,game_count,day_of_week,hour_of_day,num_day_of_week,month,day_of_month
2015-11-11 05:00:00,9,wed,5,2,11,11
2015-11-11 06:00:00,12,wed,6,2,11,11
2015-11-11 07:00:00,5,wed,7,2,11,11
2015-11-11 08:00:00,17,wed,8,2,11,11
2015-11-11 09:00:00,17,wed,9,2,11,11
2015-11-11 10:00:00,6,wed,10,2,11,11
2015-11-11 11:00:00,28,wed,11,2,11,11
2015-11-11 12:00:00,28,wed,12,2,11,11
2015-11-11 13:00:00,17,wed,13,2,11,11
2015-11-11 14:00:00,23,wed,14,2,11,11
2015-11-11 15:00:00,40,wed,15,2,11,11
2015-11-11 16:00:00,21,wed,16,2,11,11
2015-11-11 17:00:00,25,wed,17,2,11,11
2015-11-11 18:00:00,21,wed,18,2,11,11
2015-11-11 19:00:00,39,wed,19,2,11,11
2015-11-11 20:00:00,50,wed,20,2,11,11
2015-11-11 21:00:00,63,wed,21,2,11,11
2015-11-11 22:00:00,38,wed,22,2,11,11
2015-11-11 23:00:00,20,wed,23,2,11,11
2015-11-12 00:00:00,20,thur,0,3,11,12
2015-11-12 01:00:00,27,thur,1,3,11,12
2015-11-12 02:00:00,11,thur,2,3,11,12
2015-11-12 03:00:00,9,thur,3,3,11,12
2015-11-12 04:00:00,15,thur,4,3,11,12
2015-11-12 05:00:00,13,thur,5,3,11,12
2015-11-12 06:00:00,12,thur,6,3,11,12
2015-11-12 07:00:00,11,thur,7,3,11,12
2015-11-12 08:00:00,14,thur,8,3,11,12
2015-11-12 09:00:00,11,thur,9,3,11,12
2015-11-12 10:00:00,8,thur,10,3,11,12
2015-11-12 11:00:00,55,thur,11,3,11,12
2015-11-12 12:00:00,50,thur,12,3,11,12
2015-11-12 13:00:00,62,thur,13,3,11,12
2015-11-12 14:00:00,38,thur,14,3,11,12
2015-11-12 15:00:00,17,thur,15,3,11,12
2015-11-12 16:00:00,18,thur,16,3,11,12
2015-11-12 17:00:00,44,thur,17,3,11,12
2015-11-12 18:00:00,53,thur,18,3,11,12
2015-11-12 19:00:00,36,thur,19,3,11,12
2015-11-12 20:00:00,51,thur,20,3,11,12
2015-11-12 21:00:00,50,thur,21,3,11,12
2015-11-12 22:00:00,20,thur,22,3,11,12
2015-11-12 23:00:00,40,thur,23,3,11,12
2015-11-13 00:00:00,24,fri,0,4,11,13
2015-11-13 01:00:00,15,fri,1,4,11,13
2015-11-13 02:00:00,41,fri,2,4,11,13
2015-11-13 03:00:00,23,fri,3,4,11,13
2015-11-13 04:00:00,30,fri,4,4,11,13
2015-11-13 05:00:00,20,fri,5,4,11,13
2015-11-13 06:00:00,30,fri,6,4,11,13
2015-11-13 07:00:00,20,fri,7,4,11,13
2015-11-13 08:00:00,7,fri,8,4,11,13
2015-11-13 09:00:00,14,fri,9,4,11,13
2015-11-13 10:00:00,24,fri,10,4,11,13
2015-11-13 11:00:00,32,fri,11,4,11,13
2015-11-13 12:00:00,11,fri,12,4,11,13
2015-11-13 13:00:00,28,fri,13,4,11,13
2015-11-13 14:00:00,20,fri,14,4,11,13
2015-11-13 15:00:00,30,fri,15,4,11,13
2015-11-13 16:00:00,31,fri,16,4,11,13
2015-11-13 17:00:00,14,fri,17,4,11,13
2015-11-13 18:00:00,19,fri,18,4,11,13
2015-11-13 19:00:00,23,fri,19,4,11,13
2015-11-13 20:00:00,39,fri,20,4,11,13
2015-11-13 21:00:00,97,fri,21,4,11,13
2015-11-13 22:00:00,65,fri,22,4,11,13
2015-11-13 23:00:00,43,fri,23,4,11,13
2015-11-14 00:00:00,42,sat,0,5,11,14
2015-11-14 01:00:00,47,sat,1,5,11,14
2015-11-14 02:00:00,31,sat,2,5,11,14
2015-11-14 03:00:00,25,sat,3,5,11,14
2015-11-14 04:00:00,12,sat,4,5,11,14
2015-11-14 05:00:00,8,sat,5,5,11,14
2015-11-14 06:00:00,15,sat,6,5,11,14
2015-11-14 07:00:00,22,sat,7,5,11,14
2015-11-14 08:00:00,22,sat,8,5,11,14
2015-11-14 09:00:00,48,sat,9,5,11,14
2015-11-14 10:00:00,23,sat,10,5,11,14
2015-11-14 11:00:00,35,sat,11,5,11,14
2015-11-14 12:00:00,33,sat,12,5,11,14
2015-11-14 13:00:00,42,sat,13,5,11,14
2015-11-14 14:00:00,33,sat,14,5,11,14
2015-11-14 15:00:00,18,sat,15,5,11,14
2015-11-14 16:00:00,21,sat,16,5,11,14
2015-11-14 17:00:00,25,sat,17,5,11,14
2015-11-14 18:00:00,30,sat,18,5,11,14
2015-11-14 19:00:00,33,sat,19,5,11,14
2015-11-14 20:00:00,42,sat,20,5,11,14
2015-11-14 21:00:00,52,sat,21,5,11,14
2015-11-14 22:00:00,42,sat,22,5,11,14
2015-11-14 23:00:00,40,sat,23,5,11,14
2015-11-15 00:00:00,34,sun,0,6,11,15
2015-11-15 01:00:00,31,sun,1,6,11,15
2015-11-15 02:00:00,28,sun,2,6,11,15
2015-11-15 03:00:00,32,sun,3,6,11,15
2015-11-15 04:00:00,11,sun,4,6,11,15
2015-11-15 05:00:00,9,sun,5,6,11,15
2015-11-15 06:00:00,21,sun,6,6,11,15
2015-11-15 07:00:00,44,sun,7,6,11,15
2015-11-15 08:00:00,35,sun,8,6,11,15
2015-11-15 09:00:00,8,sun,9,6,11,15
2015-11-15 10:00:00,36,sun,10,6,11,15
2015-11-15 11:00:00,65,sun,11,6,11,15
2015-11-15 12:00:00,27,sun,12,6,11,15
2015-11-15 13:00:00,53,sun,13,6,11,15
2015-11-15 14:00:00,31,sun,14,6,11,15
2015-11-15 15:00:00,14,sun,15,6,11,15
2015-11-15 16:00:00,11,sun,16,6,11,15
2015-11-15 17:00:00,41,sun,17,6,11,15
2015-11-15 18:00:00,20,sun,18,6,11,15
2015-11-15 19:00:00,14,sun,19,6,11,15
2015-11-15 20:00:00,31,sun,20,6,11,15
2015-11-15 21:00:00,54,sun,21,6,11,15
2015-11-15 22:00:00,54,sun,22,6,11,15
2015-11-15 23:00:00,31,sun,23,6,11,15
2015-11-16 00:00:00,25,mon,0,0,11,16
2015-11-16 01:00:00,16,mon,1,0,11,16
2015-11-16 02:00:00,27,mon,2,0,11,16
2015-11-16 03:00:00,5,mon,3,0,11,16
2015-11-16 04:00:00,19,mon,4,0,11,16
2015-11-16 05:00:00,13,mon,5,0,11,16
2015-11-16 06:00:00,28,mon,6,0,11,16
2015-11-16 07:00:00,24,mon,7,0,11,16
2015-11-16 08:00:00,31,mon,8,0,11,16
2015-11-16 09:00:00,22,mon,9,0,11,16
2015-11-16 10:00:00,36,mon,10,0,11,16
2015-11-16 11:00:00,54,mon,11,0,11,16
2015-11-16 12:00:00,18,mon,12,0,11,16
2015-11-16 13:00:00,14,mon,13,0,11,16
2015-11-16 14:00:00,21,mon,14,0,11,16
2015-11-16 15:00:00,27,mon,15,0,11,16
2015-11-16 16:00:00,35,mon,16,0,11,16
2015-11-16 17:00:00,29,mon,17,0,11,16
2015-11-16 18:00:00,22,mon,18,0,11,16
2015-11-16 19:00:00,29,mon,19,0,11,16
2015-11-16 20:00:00,19,mon,20,0,11,16
2015-11-16 21:00:00,44,mon,21,0,11,16
2015-11-16 22:00:00,55,mon,22,0,11,16
2015-11-16 23:00:00,36,mon,23,0,11,16
2015-11-17 00:00:00,41,tue,0,1,11,17
2015-11-17 01:00:00,24,tue,1,1,11,17
2015-11-17 02:00:00,10,tue,2,1,11,17
2015-11-17 03:00:00,32,tue,3,1,11,17
2015-11-17 04:00:00,29,tue,4,1,11,17
2015-11-17 05:00:00,16,tue,5,1,11,17
2015-11-17 06:00:00,13,tue,6,1,11,17
2015-11-17 07:00:00,20,tue,7,1,11,17
2015-11-17 08:00:00,18,tue,8,1,11,17
2015-11-17 09:00:00,17,tue,9,1,11,17
2015-11-17 10:00:00,59,tue,10,1,11,17
2015-11-17 11:00:00,39,tue,11,1,11,17
2015-11-17 12:00:00,47,tue,12,1,11,17
2015-11-17 13:00:00,39,tue,13,1,11,17
2015-11-17 14:00:00,55,tue,14,1,11,17
2015-11-17 15:00:00,42,tue,15,1,11,17
2015-11-17 16:00:00,46,tue,16,1,11,17
2015-11-17 17:00:00,29,tue,17,1,11,17
2015-11-17 18:00:00,27,tue,18,1,11,17
2015-11-17 19:00:00,21,tue,19,1,11,17
2015-11-17 20:00:00,18,tue,20,1,11,17
2015-11-17 21:00:00,31,tue,21,1,11,17
2015-11-17 22:00:00,50,tue,22,1,11,17
2015-11-17 23:00:00,50,tue,23,1,11,17
2015-11-18 00:00:00,16,wed,0,2,11,18
2015-11-18 01:00:00,41,wed,1,2,11,18
2015-11-18 02:00:00,48,wed,2,2,11,18
2015-11-18 03:00:00,23,wed,3,2,11,18
2015-11-18 04:00:00,14,wed,4,2,11,18
2015-11-18 05:00:00,11,wed,5,2,11,18
2015-11-18 06:00:00,6,wed,6,2,11,18
2015-11-18 07:00:00,19,wed,7,2,11,18
2015-11-18 08:00:00,15,wed,8,2,11,18
2015-11-18 09:00:00,23,wed,9,2,11,18
2015-11-18 10:00:00,33,wed,10,2,11,18
2015-11-18 11:00:00,37,wed,11,2,11,18
2015-11-18 12:00:00,23,wed,12,2,11,18
2015-11-18 13:00:00,35,wed,13,2,11,18
2015-11-18 14:00:00,26,wed,14,2,11,18
2015-11-18 15:00:00,32,wed,15,2,11,18
2015-11-18 16:00:00,69,wed,16,2,11,18
2015-11-18 17:00:00,50,wed,17,2,11,18
2015-11-18 18:00:00,37,wed,18,2,11,18
2015-11-18 19:00:00,54,wed,19,2,11,18
2015-11-18 20:00:00,46,wed,20,2,11,18
2015-11-18 21:00:00,73,wed,21,2,11,18
2015-11-18 22:00:00,60,wed,22,2,11,18
2015-11-18 23:00:00,50,wed,23,2,11,18
2015-11-19 00:00:00,20,thur,0,3,11,19
2015-11-19 01:00:00,18,thur,1,3,11,19
2015-11-19 02:00:00,35,thur,2,3,11,19
2015-11-19 03:00:00,11,thur,3,3,11,19
2015-11-19 04:00:00,29,thur,4,3,11,19
2015-11-19 05:00:00,13,thur,5,3,11,19
2015-11-19 06:00:00,18,thur,6,3,11,19
2015-11-19 07:00:00,36,thur,7,3,11,19
2015-11-19 08:00:00,34,thur,8,3,11,19
2015-11-19 09:00:00,35,thur,9,3,11,19
2015-11-19 10:00:00,41,thur,10,3,11,19
2015-11-19 11:00:00,62,thur,11,3,11,19
2015-11-19 12:00:00,54,thur,12,3,11,19
2015-11-19 13:00:00,48,thur,13,3,11,19
2015-11-19 14:00:00,24,thur,14,3,11,19
2015-11-19 15:00:00,59,thur,15,3,11,19
2015-11-19 16:00:00,57,thur,16,3,11,19
2015-11-19 17:00:00,46,thur,17,3,11,19
2015-11-19 18:00:00,53,thur,18,3,11,19
2015-11-19 19:00:00,28,thur,19,3,11,19
2015-11-19 20:00:00,19,thur,20,3,11,19
2015-11-19 21:00:00,33,thur,21,3,11,19
2015-11-19 22:00:00,55,thur,22,3,11,19
2015-11-19 23:00:00,32,thur,23,3,11,19
2015-11-20 00:00:00,22,fri,0,4,11,20
2015-11-20 01:00:00,21,fri,1,4,11,20
2015-11-20 02:00:00,17,fri,2,4,11,20
2015-11-20 03:00:00,13,fri,3,4,11,20
2015-11-20 04:00:00,6,fri,4,4,11,20
2015-11-20 05:00:00,15,fri,5,4,11,20
2015-11-20 06:00:00,8,fri,6,4,11,20
2015-11-20 07:00:00,18,fri,7,4,11,20
2015-11-20 08:00:00,26,fri,8,4,11,20
2015-11-20 09:00:00,32,fri,9,4,11,20
2015-11-20 10:00:00,30,fri,10,4,11,20
2015-11-20 11:00:00,19,fri,11,4,11,20
2015-11-20 12:00:00,14,fri,12,4,11,20
2015-11-20 13:00:00,30,fri,13,4,11,20
2015-11-20 14:00:00,24,fri,14,4,11,20
2015-11-20 15:00:00,78,fri,15,4,11,20
2015-11-20 16:00:00,60,fri,16,4,11,20
2015-11-20 17:00:00,25,fri,17,4,11,20
2015-11-20 18:00:00,46,fri,18,4,11,20
2015-11-20 19:00:00,46,fri,19,4,11,20
2015-11-20 20:00:00,37,fri,20,4,11,20
2015-11-20 21:00:00,40,fri,21,4,11,20
2015-11-20 22:00:00,39,fri,22,4,11,20
2015-11-20 23:00:00,22,fri,23,4,11,20
2015-11-21 00:00:00,17,sat,0,5,11,21
2015-11-21 01:00:00,16,sat,1,5,11,21
2015-11-21 02:00:00,16,sat,2,5,11,21
2015-11-21 03:00:00,14,sat,3,5,11,21
2015-11-21 04:00:00,26,sat,4,5,11,21
2015-11-21 05:00:00,5,sat,5,5,11,21
2015-11-21 06:00:00,19,sat,6,5,11,21
2015-11-21 07:00:00,23,sat,7,5,11,21
2015-11-21 08:00:00,21,sat,8,5,11,21
2015-11-21 09:00:00,32,sat,9,5,11,21
2015-11-21 10:00:00,14,sat,10,5,11,21
2015-11-21 11:00:00,25,sat,11,5,11,21
2015-11-21 12:00:00,35,sat,12,5,11,21
2015-11-21 13:00:00,18,sat,13,5,11,21
2015-11-21 14:00:00,17,sat,14,5,11,21
2015-11-21 15:00:00,43,sat,15,5,11,21
2015-11-21 16:00:00,43,sat,16,5,11,21
2015-11-21 17:00:00,35,sat,17,5,11,21
2015-11-21 18:00:00,28,sat,18,5,11,21
2015-11-21 19:00:00,30,sat,19,5,11,21
2015-11-21 20:00:00,30,sat,20,5,11,21
2015-11-21 21:00:00,41,sat,21,5,11,21
2015-11-21 22:00:00,49,sat,22,5,11,21
2015-11-21 23:00:00,30,sat,23,5,11,21
2015-11-22 00:00:00,25,sun,0,6,11,22
2015-11-22 01:00:00,27,sun,1,6,11,22
2015-11-22 02:00:00,23,sun,2,6,11,22
2015-11-22 03:00:00,6,sun,3,6,11,22
2015-11-22 04:00:00,16,sun,4,6,11,22
2015-11-22 05:00:00,16,sun,5,6,11,22
2015-11-22 06:00:00,6,sun,6,6,11,22
2015-11-22 07:00:00,11,sun,7,6,11,22
2015-11-22 08:00:00,15,sun,8,6,11,22
2015-11-22 09:00:00,26,sun,9,6,11,22
2015-11-22 10:00:00,20,sun,10,6,11,22
2015-11-22 11:00:00,35,sun,11,6,11,22
2015-11-22 12:00:00,12,sun,12,6,11,22
2015-11-22 13:00:00,52,sun,13,6,11,22
2015-11-22 14:00:00,46,sun,14,6,11,22
2015-11-22 15:00:00,36,sun,15,6,11,22
2015-11-22 16:00:00,44,sun,16,6,11,22
2015-11-22 17:00:00,34,sun,17,6,11,22
2015-11-22 18:00:00,30,sun,18,6,11,22
2015-11-22 19:00:00,22,sun,19,6,11,22
2015-11-22 20:00:00,57,sun,20,6,11,22
2015-11-22 21:00:00,22,sun,21,6,11,22
2015-11-22 22:00:00,23,sun,22,6,11,22
2015-11-22 23:00:00,21,sun,23,6,11,22
2015-11-23 00:00:00,39,mon,0,0,11,23
2015-11-23 01:00:00,29,mon,1,0,11,23
2015-11-23 02:00:00,34,mon,2,0,11,23
2015-11-23 03:00:00,14,mon,3,0,11,23
2015-11-23 04:00:00,11,mon,4,0,11,23
2015-11-23 05:00:00,31,mon,5,0,11,23
2015-11-23 06:00:00,12,mon,6,0,11,23
2015-11-23 07:00:00,11,mon,7,0,11,23
2015-11-23 08:00:00,7,mon,8,0,11,23
2015-11-23 09:00:00,14,mon,9,0,11,23
2015-11-23 10:00:00,31,mon,10,0,11,23
2015-11-23 11:00:00,17,mon,11,0,11,23
2015-11-23 12:00:00,17,mon,12,0,11,23
2015-11-23 13:00:00,41,mon,13,0,11,23
2015-11-23 14:00:00,28,mon,14,0,11,23
2015-11-23 15:00:00,15,mon,15,0,11,23
2015-11-23 16:00:00,27,mon,16,0,11,23
2015-11-23 17:00:00,20,mon,17,0,11,23
2015-11-23 18:00:00,26,mon,18,0,11,23
2015-11-23 19:00:00,37,mon,19,0,11,23
2015-11-23 20:00:00,36,mon,20,0,11,23
2015-11-23 21:00:00,20,mon,21,0,11,23
2015-11-23 22:00:00,45,mon,22,0,11,23
2015-11-23 23:00:00,32,mon,23,0,11,23
2015-11-24 00:00:00,33,tue,0,1,11,24
2015-11-24 01:00:00,16,tue,1,1,11,24
2015-11-24 02:00:00,21,tue,2,1,11,24
2015-11-24 03:00:00,17,tue,3,1,11,24
2015-11-24 04:00:00,3,tue,4,1,11,24
2015-11-24 05:00:00,13,tue,5,1,11,24
2015-11-24 06:00:00,13,tue,6,1,11,24
2015-11-24 07:00:00,21,tue,7,1,11,24
2015-11-24 08:00:00,23,tue,8,1,11,24
2015-11-24 09:00:00,48,tue,9,1,11,24
2015-11-24 10:00:00,53,tue,10,1,11,24
2015-11-24 11:00:00,19,tue,11,1,11,24
2015-11-24 12:00:00,26,tue,12,1,11,24
2015-11-24 13:00:00,38,tue,13,1,11,24
2015-11-24 14:00:00,57,tue,14,1,11,24
2015-11-24 15:00:00,60,tue,15,1,11,24
2015-11-24 16:00:00,32,tue,16,1,11,24
2015-11-24 17:00:00,41,tue,17,1,11,24
2015-11-24 18:00:00,25,tue,18,1,11,24
2015-11-24 19:00:00,57,tue,19,1,11,24
2015-11-24 20:00:00,82,tue,20,1,11,24
2015-11-24 21:00:00,38,tue,21,1,11,24
2015-11-24 22:00:00,17,tue,22,1,11,24
2015-11-24 23:00:00,53,tue,23,1,11,24
2015-11-25 00:00:00,24,wed,0,2,11,25
2015-11-25 01:00:00,24,wed,1,2,11,25
2015-11-25 02:00:00,17,wed,2,2,11,25
2015-11-25 03:00:00,15,wed,3,2,11,25
2015-11-25 04:00:00,10,wed,4,2,11,25
2015-11-25 05:00:00,17,wed,5,2,11,25
2015-11-25 06:00:00,12,wed,6,2,11,25
2015-11-25 07:00:00,18,wed,7,2,11,25
2015-11-25 08:00:00,12,wed,8,2,11,25
2015-11-25 09:00:00,34,wed,9,2,11,25
2015-11-25 10:00:00,21,wed,10,2,11,25
2015-11-25 11:00:00,21,wed,11,2,11,25
2015-11-25 12:00:00,26,wed,12,2,11,25
2015-11-25 13:00:00,22,wed,13,2,11,25
2015-11-25 14:00:00,38,wed,14,2,11,25
2015-11-25 15:00:00,31,wed,15,2,11,25
2015-11-25 16:00:00,29,wed,16,2,11,25
2015-11-25 17:00:00,24,wed,17,2,11,25
2015-11-25 18:00:00,45,wed,18,2,11,25
2015-11-25 19:00:00,38,wed,19,2,11,25
2015-11-25 20:00:00,45,wed,20,2,11,25
2015-11-25 21:00:00,57,wed,21,2,11,25
2015-11-25 22:00:00,48,wed,22,2,11,25
2015-11-25 23:00:00,52,wed,23,2,11,25
2015-11-26 00:00:00,20,thur,0,3,11,26
2015-11-26 01:00:00,16,thur,1,3,11,26
2015-11-26 02:00:00,19,thur,2,3,11,26
2015-11-26 03:00:00,6,thur,3,3,11,26
2015-11-26 04:00:00,7,thur,4,3,11,26
2015-11-26 05:00:00,8,thur,5,3,11,26
2015-11-26 06:00:00,11,thur,6,3,11,26
2015-11-26 07:00:00,21,thur,7,3,11,26
2015-11-26 08:00:00,19,thur,8,3,11,26
2015-11-26 09:00:00,19,thur,9,3,11,26
2015-11-26 10:00:00,14,thur,10,3,11,26
2015-11-26 11:00:00,46,thur,11,3,11,26
2015-11-26 12:00:00,35,thur,12,3,11,26
2015-11-26 13:00:00,13,thur,13,3,11,26
2015-11-26 14:00:00,12,thur,14,3,11,26
2015-11-26 15:00:00,26,thur,15,3,11,26
2015-11-26 16:00:00,36,thur,16,3,11,26
2015-11-26 17:00:00,35,thur,17,3,11,26
2015-11-26 18:00:00,16,thur,18,3,11,26
2015-11-26 19:00:00,41,thur,19,3,11,26
2015-11-26 20:00:00,31,thur,20,3,11,26
2015-11-26 21:00:00,9,thur,21,3,11,26
2015-11-26 22:00:00,38,thur,22,3,11,26
